Dia;Susceptibles;Infectados
1;7149537.50000021;2.4999997901962923
2;7149533.750001836;6.249998164217778
3;7149524.375012785;15.624987215091931
4;7149500.937583184;39.06241681620534
5;7149442.344278093;97.65572190682485
6;7149295.862696055;244.13730394462715
7;7148929.669245074;610.330754926318
8;7148014.2512653265;1525.7487346730218
9;7145726.116567299;3813.8834327010345
10;7140008.343161472;9531.65683852752
11;7125729.919091272;23810.080908727545
12;7090133.739636237;59406.26036376321
13;7001764.768146309;147775.23185369105
14;6784683.512849222;364856.4871507786
15;6265327.90544064;884212.0945593612
16;5103040.812067314;2046499.1879326866
17;2911983.301119103;4237556.698880898
18;323069.67632228415;6826470.323677717
19;-139636.78267247044;7289176.782672471
20;73909.23446917499;7075630.765530826
21;-35808.548758891266;7185348.548758891
22;18173.295637642223;7131366.704362358
23;-9017.356226425;7158557.356226426
24;4525.737821945;7145014.262178056
25;-2258.571647896908;7151798.571647898
26;1130.3560632691697;7148409.643936732
27;-564.9099644240159;7150104.9099644255
28;282.52193545681246;7149257.4780645445
29;-141.2442214809525;7149681.244221482
30;70.62629630977904;7149469.373703692
31;-35.312101638526855;7149575.312101641
32;17.656312432847415;7149522.34368757
33;-8.828090811089517;7149548.828090814
34;4.4140617566360305;7149535.585938246
35;-2.2070267905149166;7149542.207026793
36;1.1035144172044493;7149538.896485585
37;-0.5517569531150046;7149540.551756955
38;0.27587854042924853;7149539.724121462
39;-0.13793925424668046;7149540.137939257
40;0.06896963111532534;7149539.931030371
41;-0.034484814559666316;7149540.034484817
42;0.01724240752933226;7149539.982757594
43;-0.008621203702291368;7149540.008621206
44;0.004310601866739379;7149539.9956894005
45;-0.002155300929471269;7149540.002155303
46;0.0010776504657102415;7149539.998922352
47;-0.00053882523261147;7149540.000538828
48;0.00026941261636664817;7149539.99973059
49;-0.00013470630816809603;7149540.000134708
50;6.735315408785514e-05;7149539.999932649
51;-3.367657704297583e-05;7149540.0000336785
52;1.683828852172587e-05;7149539.999983164
53;-8.41914426080346e-06;7149540.000008421
54;4.209572130416604e-06;7149539.999995792
55;-2.104786065204585e-06;7149540.000002107
56;1.0523930326032234e-06;7149539.9999989495
57;-5.261965163013798e-07;7149540.000000528
58;2.6309825815074825e-07;7149539.999999739
59;-1.3154912907535973e-07;7149540.000000134
60;6.577456453768357e-08;7149539.999999937
