Dia;Susceptibles;Infectados
1;7149539.0;1.0
2;7149535.402193659;4.597806340935648
3;7149518.870559733;21.129440266521726
4;7149442.89764645;97.10235355036339
5;7149093.730597377;446.26940262379804
6;7147489.297141656;2050.7028583438782
7;7140124.740694448;9415.259305551692
8;7106482.046537915;43057.95346208474
9;6955991.30079193;193548.6992080696
10;6338869.346552828;810670.6534471714
11;4495929.6508957;2653610.3491043006
12;1926090.174053025;5223449.8259469755
13;530273.89001731;6619266.10998269
14;122419.28572408945;7027120.7142759105
15;27013.69704240759;7122526.3029575925
16;5906.722183118265;7143633.277816882
17;1285.8672487409085;7148254.13275126
18;280.2656316042714;7149259.734368397
19;61.058517756209895;7149478.941482245
20;13.28747646834158;7149526.712523533
21;2.896928900005555;7149537.103071102
22;0.6305721311650416;7149539.36942787
23;0.13731699874594974;7149539.862683004
24;0.029936923976263248;7149539.970063077
25;0.006512855876809583;7149539.993487146
26;0.001419538795144937;7149539.998580463
27;0.00030910879474644096;7149539.999690892
28;6.752818488017502e-05;7149539.9999324735
29;1.4698935970410897e-05;7149539.999985303
30;3.273735711048191e-06;7149539.999996728
31;8.796469835475055e-07;7149539.999999122
32;7.406509491366804e-08;7149539.999999928
33;9.570398085140454e-08;7149539.999999907
34;-1.8856331971308746e-07;7149540.000000191
35;3.441555629404432e-07;7149539.999999658
36;-6.790219074137433e-07;7149540.000000681
37;3.9923856243386954e-07;7149539.999999603
38;1.385761230503735e-07;7149539.999999863
39;-6.367657318046784e-08;7149540.000000066
40;3.650217395052215e-07;7149539.999999637
41;-2.3925939135279277e-07;7149540.000000241
42;5.296939092394689e-07;7149539.999999472
43;-5.552837402880345e-07;7149540.000000557
44;9.383252180035222e-07;7149539.999999063
45;-8.031835487252334e-07;7149540.000000805
46;9.11275798715358e-07;7149539.99999909
47;-4.052587589792341e-07;7149540.000000406
48;4.300085221489764e-07;7149539.999999571
49;1.225610141341945e-07;7149539.999999878
50;1.4039661288895192e-07;7149539.99999986
51;2.0835048818390542e-07;7149539.999999792
52;-1.6318284349516074e-08;7149540.000000018
53;2.415304980920959e-07;7149539.99999976
54;-2.831219036893025e-07;7149540.000000284
55;6.138698541846604e-07;7149539.999999387
56;-7.260635673038998e-07;7149540.000000726
57;1.1041891991294557e-06;7149539.999998896
58;-7.919420854031482e-07;7149540.000000793
59;8.738677375232609e-07;7149539.999999127
60;5.156024599351783e-07;7149539.999999485
