Dia;Susceptibles;Infectados;Recuperados
1;7149539.0;1.0;0.0
2;7149535.453350503;4.494631950564401;0.05201754609139408
3;7149519.5117671685;20.20240499006119;0.2858278414869315
4;7149447.852675516;90.81048840943548;1.336836074090752
5;7149125.793354304;408.14610676872985;6.0605389270632415
6;7147678.705648817;1834.0065043475865;27.287846834402266
7;7141182.372220312;8234.992714089054;122.63506559855298
8;7112132.019281373;36857.91543346388;550.0652851631976
9;6984444.520748313;162645.92946621662;2449.549785470829
10;6462992.85473005;675965.9202547048;10581.225015245625
11;4839676.674791558;2269014.0784364436;40849.24677199809
12;2286332.7666157;4743705.490279676;119501.74310462401
13;690572.6703767692;6214156.337294813;244810.9923284186
14;174124.92252643476;6586161.458716863;389253.61875670333
15;42644.8769054395;6570134.556114125;536760.5669804366
16;10645.113475835225;6456336.865368345;682558.0211558214
17;2723.5706835488827;6321307.836226113;825508.5930903393
18;718.6547990646302;6183430.03472916;965391.3104717759
19;195.25532350653162;6047141.289304703;1102203.4553717922
20;54.51892193935875;5913490.372132283;1235995.1089457788
21;15.683380875628796;5782695.879189557;1366828.437429568
22;4.6380691854856515;5654767.727241475;1494767.6346893404
23;1.4070106749569695;5529662.207528388;1619876.3854609379
24;0.43839362571921653;5407322.348125555;1742217.2134808204
25;0.14027897452051008;5287688.530995406;1861851.3287256206
26;0.04604921389815007;5170701.346819323;1978838.6071314642
27;0.015486856102797701;5056302.378618529;2093237.6058946152
28;0.00533280558454335;4944434.406186371;2205105.588480823
29;0.00188009566153108;4835041.446124207;2314498.551995697
30;0.0006784086959903598;4728068.744501347;2421471.254820244
31;0.0002505014732839516;4623462.755854222;2526077.2438952764
32;9.472911699535732e-05;4521171.118427279;2628368.881477991
33;3.658781471193693e-05;4421142.6285987515;2728397.3713646606
34;1.4243491943492496e-05;4323327.2154297335;2826212.784556023
35;5.92437548038566e-06;4227675.916001794;2921864.083992282
36;2.3021634163106477e-06;4134140.850109419;3015399.1498882785
37;1.1489293909107385e-06;4042675.197860466;3106864.802138385
38;3.506221754739275e-07;3953233.1726890886;3196306.8273105607
39;2.3374652132920324e-07;3865770.0066279336;3283769.9933718327
40;1.8426039151477112e-07;3780241.9149873406;3369298.085012475
41;-5.517163931858095e-08;3696606.0805347925;3452933.919465263
42;-7.097074205704041e-08;3614820.651206566;3534719.348793505
43;1.228827961310375e-07;3534844.685320622;3614695.314679255
44;1.317320391521164e-07;3456638.13952789;3692901.8604719783
45;-2.3768606860190583e-07;3380161.8458798314;3769378.1541204066
46;-4.83361883531969e-07;3305377.5570471156;3844162.4429533677
47;-3.3074403824678013e-07;3232247.8553806194;3917292.144619711
48;1.6128091903936368e-07;3160736.124005405;3988803.875994433
49;6.003885245065892e-07;3090806.546820725;4058733.4531786744
50;2.787836900663563e-07;3022424.1018887726;4127115.8981109485
51;-7.82293167184523e-07;2955554.544417472;4193985.45558331
52;-1.5010168040541204e-06;2890164.452774005;4259375.547227495
53;-1.2800850456831946e-06;2826221.1159481993;4323318.88405308
54;-1.2639045114021916e-07;2763692.5171916676;4385847.482808459
55;1.3489796865786492e-06;2702547.3340178053;4446992.665980846
56;1.930743340549517e-06;2642754.9382017953;4506785.061796274
57;1.0988042559607582e-06;2584285.3984558904;4565254.601543011
58;5.819723432168066e-07;2527109.46642642;4622430.533572998
59;3.936886400226641e-07;2471198.525272847;4678341.474726759
60;3.0573783624152924e-07;2416524.5827476154;4733015.417252079
